Tamaño municipio (habitantes);Municipios;Total población;Nº jóvenes;% jóvenes;Nº adultos;% adultos;Nº mayores;% mayores
Total España;8132;48619695;6974590;14.3;31716737;65.2;9928368;20.4
Rural;5858;2683663;285374;10.6;1625981;60.6;772308;28.8
0 - 100;1406;80532;3695;4.6;45230;56.2;31607;39.2
101 - 500;2572;642634;54551;8.5;377044;58.7;211039;32.8
501 - 1.000;1004;719635;78212;10.9;437323;60.8;204100;28.4
1.001 - 2.000;876;1240862;148916;12.0;766384;61.8;325562;26.2
Intermedio;1494;6889502;996037;14.5;4445415;64.5;1448050;21.0
2.001 - 5.000;951;3038251;423723;13.9;1936282;63.7;678246;22.3
5.001 - 10.000;543;3851251;572314;14.9;2509133;65.2;769804;20.0
Urbano;780;39046530;5693179;14.6;25645341;65.7;7708010;19.7
10.001- 20.000;351;4921966;745431;15.1;3219571;65.4;956964;19.4
20.001 -50.000;277;8232384;1267298;15.4;5450626;66.2;1514460;18.4
50.001 - 100.000;87;6333830;972487;15.4;4174232;65.9;1187111;18.7
100.001 - 500.000;59;11655262;1661702;14.3;7573780;65.0;2419780;20.8
>500.000;6;7903088;1046261;13.2;5227132;66.1;1629695;20.6
